"Scenario";"TotalCost";"TotalCostPerVeh";"CostPerVehKM";"CostPerSeatKM";"CostPerPassKM";"PricePerPassKM";"overhead";"salaries";"deprecation";"maintenance";"cleaning";"tires";"fuel";"other_var";"interest";"insurance";"tax";"parking";"other_fix";"acquisition"
"S01";16.0955176885545;16.0955176885545;0.36718841471589;0.36718841471589;0.36718841471589;0.410635132617705;0;0;0.026;0.02;0.00749505875890328;0.02;0.06;0;0.0175858284086093;0.0312294114954303;0.00749505875890328;0.093688234486291;0.00249835291963443;0.0811964698881189
"S02";29.7069648220619;29.7069648220619;0.677707516471519;0.16942687911788;0.475858260526444;0.532163085999594;0;0;0.0491511122825963;0.042129524813654;0.00526272106605017;0.0140431749378847;0.0561726997515386;0;0.0332447317959243;0.0438560088837514;0.0109640022209379;0.0657840133256271;0.00175424035535006;0.15349603109313
"S03";49.351656510033;49.351656510033;1.12586353966162;0.140732942457703;0.79053493218271;0.884073145300484;0;0;0.0926849545900387;0.0842590496273079;0.00526272106605017;0.0140431749378847;0.0912806370962503;0;0.0626900656723143;0.0526272106605017;0.030699206218626;0.0657840133256271;0.00175424035535006;0.289449658632759
"S04";1534999.20942743;767.499604713718;3.27371853679419;3.27371853679419;3.76289486987838;4.20813068166805;0.117667131451836;3.43195800067855;0;0.0159642401021711;0.0368464836681827;0.0159642401021711;0.0606641123882503;0;0.00097330358196301;0.00497152852569422;0.00161077524232493;0.0434946601891673;0.000497152852569422;0.0322832410955016
"S05-RS";1186478.28429249;790.985522861662;3.37389615919601;0.843474039799003;1.60663024944389;1.79673104898605;0.048748206980012;1.42182270358368;0;0.0198414307677194;0.0152650956148908;0.00661381025590647;0.0335099719632594;0;0.00108561664645227;0.00411929990282421;0.00139026371720317;0.0180193625124167;0.000205964995141211;0.0360085225043797
"S05-Taxi";1186478.28429249;790.985522861662;3.37389615919601;0.843474039799003;2.72190045006007;3.04396301050899;0.0825876187532532;2.40880554696988;0;0.0336147034174071;0.0258616259956286;0.0112049011391357;0.0567714991049542;0;0.0018392162350945;0.00697878324107901;0.00235533934386417;0.030527814940195;0.000348939162053951;0.0610044617575165
"S06-RS";828878.021468642;828.878021468642;3.5355240927262;0.441940511590775;1.68359655632234;1.88280421569144;0.048748206980012;1.42182270358368;0;0.0396828615354388;0.0152650956148908;0.00661381025590647;0.0544537044402966;0;0.00204716281902427;0.00494315988338906;0.00389273840816888;0.0180193625124167;0.000205964995141211;0.0679017852939731
"S07";461016.129111496;922.032258222992;1.95841812659669;0.0979209063298344;0.473196313905761;0.529186170716329;0.0123170436093264;0.341284750008418;0;0.0218130699935282;0.00385697977499439;0.00335585692208125;0.0425075210130292;0;0.00110168692380309;0.00145713328880581;0.00154560209562617;0.00455289102158567;0.00286222610301142;0.0365415531515514
"S08";1565750.87463569;782.875437317843;2.08835977605338;2.08835977605338;2.61044972006672;2.91932513127044;0.0800265154521198;2.33410670068683;0;0.0173611111111111;0.0250596377955817;0.0173611111111111;0.0659722222222222;0;0.00105846764538477;0.00338118299879669;0.00109550329161013;0.0295811247607225;0.000338118299879669;0.035108024691358
"S09-RS";1229413.49181862;819.608994545748;2.18634839555706;0.546587098889264;1.13119947308676;1.26504602822905;0.0331240720084201;0.966118766912254;0;0.0215580057937682;0.0103725276823082;0.00718600193125608;0.0364090764516975;0;0.00117953842280898;0.00279903600682943;0.000944674652304932;0.0122440331323745;0.000139951800341471;0.0391237882923942
"S09-Taxi";1229413.49181862;819.608994545748;2.18634839555706;0.546587098889264;1.91906449429611;2.14613335153003;0.0561945368701488;1.63900732537934;0;0.0365728631164925;0.0175968518946564;0.0121909543721642;0.0617675021522984;0;0.00200107086391573;0.00474852645069323;0.00160262767710897;0.0207718353927512;0.000237426322534662;0.0663729738040049
"S10-RS";879218.428335757;879.218428335757;2.34535957136667;0.293169946420833;1.21347060547182;1.3570517016207;0.0331240720084201;0.966118766912254;0;0.0431160115875365;0.0103725276823082;0.00718600193125608;0.0591647492340084;0;0.00222427245443978;0.00335884320819531;0.00264508902645381;0.0122440331323745;0.000139951800341471;0.0737762864942291
"S11";457609.074037812;915.218148075623;2.44139064230114;0.122069532115057;1.26315632667791;1.41261637059986;0.0331240720084201;0.966118766912254;0;0.0467090125531645;0.0103725276823082;0.00718600193125608;0.0910226911292436;0;0.00235907684561795;0.0039186504095612;0.0041565684701417;0.0122440331323745;0.00769734901878093;0.0782475765847884
"S12";1694862.7999207;847.431399960348;0.878632974846614;0.878632974846614;1.09829121855827;1.22824398077617;0.0311045699352558;0.907216623111629;0;0.0173611111111111;0.00974013740272385;0.0173611111111111;0.0659722222222222;0;0.00105846764538477;0.00131419245803466;0.000425798356403228;0.0114975412672307;0.000131419245803466;0.035108024691358
"S13-RS";1409678.43905545;939.785626036967;0.974387590973834;0.243596897743458;0.504081506021708;0.563725781586863;0.0128731019174421;0.375465472592061;0;0.0215554839560779;0.00403110480987663;0.00718516131869262;0.0364048173480426;0;0.00117940044137969;0.0010877972906636;0.000367131585598965;0.00475843327334658;5.43898645331799e-05;0.0391192116239931
"S13-Taxi";1409678.43905545;939.785626036967;0.974387590973834;0.243596897743458;0.855663009941178;0.956907351870366;0.0218516985891637;0.637341208850607;0;0.0365897777686017;0.00684267768962517;0.0121965925895339;0.0617960691203051;0;0.00200199634293555;0.00184650278341096;0.000623194689401199;0.00807729561318332;9.2325139170548e-05;0.0664036707652401
"S14-RS";1090574.35999764;1090.57435999764;1.13072821500478;0.141341026875597;0.584961453533282;0.654175661380119;0.0128731019174421;0.375465472592061;0;0.0431109679121557;0.00403110480987663;0.00718516131869262;0.0591578281905692;0;0.00222401226088742;0.00130535674879632;0.0010279684396771;0.00475843327334658;5.43898645331799e-05;0.0737676562052442
"S15";586111.255934123;1172.22251186825;1.2153825700029;0.0607691285001452;0.628755827716663;0.703151903358277;0.0128731019174421;0.375465472592061;0;0.046703548571502;0.00403110480987663;0.00718516131869262;0.0910120433701065;0;0.00235880088275939;0.00152291620692904;0.00161537897663544;0.00475843327334658;0.0029914425493249;0.0782384232479863
"S16";NA;2457.27741;7.14;0.119;0.53085501858736;0.588454429923733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"S17";NA;2260.40245;6.7;0.111666666666667;0.886243386243386;0.98240353460972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"S18";NA;19178.9002;31.4;0.105723905723906;0.46574407807888;0.516278750996041;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"S19";NA;17424.2996;31.4;0.105723905723906;0.334569321911094;0.370871128088928;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A-S01";16.1543327898834;16.1543327898834;0.368530168627521;0.368530168627521;0.368530168627521;0.412135646450281;0;0;0.0312;0.02;0.00749505875890328;0.018;0.054;0;0.0211029940903312;0.0156147057477152;0.00749505875890328;0.093688234486291;0.00249835291963443;0.0974357638657426
"A-S02";30.8449545637974;30.8449545637974;0.703668573289711;0.175917143322428;0.494087043649956;0.552548747625587;0;0;0.0589813347391156;0.042129524813654;0.00526272106605017;0.0126388574440962;0.0505554297763848;0;0.039893678155109;0.0219280044418757;0.0109640022209379;0.0657840133256271;0.00175424035535006;0.184195237311756
"A-S03";52.6053476198223;52.6053476198223;1.20009027182994;0.150011283978742;0.842653881428068;0.942358948385591;0;0;0.111221945508046;0.0842590496273079;0.00526272106605017;0.0126388574440962;0.0821525733866253;0;0.0752280788067771;0.0263136053302508;0.030699206218626;0.0657840133256271;0.00175424035535006;0.347339590359311
"A-S04";169765.8777019;84.8829388509502;0.349866572673278;0.349866572673278;0.402145485831354;0.449728418130353;0.113703552098968;0;0;0.0159642401021711;0.117135810866849;0.014367816091954;0.0545977011494253;0;0.00116796429835561;0.00240203209578607;0.00155651679806937;0.0420295565960167;0.000480406419157213;0.038739889314602
"A-S05-RS";218141.282025636;145.427521350424;0.599416433455324;0.149854108363831;0.285892632738821;0.319720215709873;0.0471810502029965;0;0;0.0198729837320552;0.117107588613991;0.00596189511961657;0.030206935272724;0;0.00130481166646274;0.00199343634932088;0.00134556953579159;0.0174400762611211;0.000199343634932088;0.0432789423498092
